timestamp,tag,major,room,rssi,distance,raw_distance,mac
2026-04-28T16:35:16.828083,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:35:24.389566,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:35:32.485579,Tag-B,40604,unknown,-89.0,12.92,,f7e6ef23cda5
2026-04-28T16:35:37.424541,Tag-B,40604,unknown,-88.0,11.86,,f7e6ef23cda5
2026-04-28T16:35:41.807151,Tag-A,60285,unknown,-86.0,10.0,,d6ac03164b2b
2026-04-28T16:35:42.416872,Tag-B,40604,unknown,-87.67,11.53,,f7e6ef23cda5
2026-04-28T16:35:45.293523,Tag-B,40604,unknown,-87.75,11.61,,f7e6ef23cda5
2026-04-28T16:35:54.299644,Tag-A,60285,unknown,-88.5,12.38,,d6ac03164b2b
2026-04-28T16:35:59.310012,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:36:02.388718,Tag-B,40604,unknown,-86.0,10.0,,f7e6ef23cda5
2026-04-28T16:36:04.324494,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:36:06.894735,Tag-A,60285,unknown,-88.0,11.86,,d6ac03164b2b
2026-04-28T16:36:11.936084,Tag-A,60285,unknown,-85.0,9.18,,d6ac03164b2b
2026-04-28T16:36:16.818451,Tag-A,60285,unknown,-85.0,9.18,,d6ac03164b2b
2026-04-28T16:36:32.492862,Tag-B,40604,unknown,-86.0,10.0,,f7e6ef23cda5
2026-04-28T16:36:37.398761,Tag-B,40604,unknown,-87.0,10.89,,f7e6ef23cda5
2026-04-28T16:36:41.808285,Tag-A,60285,unknown,-86.0,10.0,,d6ac03164b2b
2026-04-28T16:36:49.294577,Tag-A,60285,unknown,-88.0,11.86,,d6ac03164b2b
2026-04-28T16:36:49.897048,Tag-B,40604,unknown,-91.0,15.32,,f7e6ef23cda5
2026-04-28T16:36:54.299604,Tag-A,60285,unknown,-87.0,10.89,,d6ac03164b2b
2026-04-28T16:36:59.316225,Tag-A,60285,unknown,-88.67,12.55,,d6ac03164b2b
2026-04-28T16:37:02.501665,Tag-B,40604,unknown,-90.5,14.68,,f7e6ef23cda5
2026-04-28T16:37:06.813063,Tag-A,60285,unknown,-88.67,12.55,,d6ac03164b2b
2026-04-28T16:37:07.403602,Tag-B,40604,unknown,-86.5,10.44,,f7e6ef23cda5
2026-04-28T16:37:19.900023,Tag-B,40604,unknown,-91.0,15.32,,f7e6ef23cda5
2026-04-28T16:37:41.863073,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:37:50.038983,Tag-A,60285,unknown,-89.5,13.48,,d6ac03164b2b
2026-04-28T16:37:57.405770,Tag-B,40604,unknown,-91.33,15.76,,f7e6ef23cda5
2026-04-28T16:38:02.512704,Tag-B,40604,unknown,-90.67,14.89,,f7e6ef23cda5
2026-04-28T16:38:09.891759,Tag-B,40604,unknown,-90.33,14.47,,f7e6ef23cda5
2026-04-28T16:38:15.017295,Tag-B,40604,unknown,-90.0,14.07,,f7e6ef23cda5
2026-04-28T16:38:19.302782,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:38:24.319536,Tag-A,60285,unknown,-90.5,14.68,,d6ac03164b2b
2026-04-28T16:38:27.504692,Tag-B,40604,unknown,-91.0,15.32,,f7e6ef23cda5
2026-04-28T16:38:32.512567,Tag-B,40604,unknown,-91.0,15.32,,f7e6ef23cda5
2026-04-28T16:38:44.897788,Tag-B,40604,unknown,-91.0,15.32,,f7e6ef23cda5
2026-04-28T16:39:32.425572,Tag-B,40604,unknown,-91.5,15.98,,f7e6ef23cda5
2026-04-28T16:40:14.912576,Tag-B,40604,unknown,-90.33,14.47,,f7e6ef23cda5
2026-04-28T16:40:27.414138,Tag-B,40604,unknown,-89.5,13.48,,f7e6ef23cda5
2026-04-28T16:41:19.310273,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:41:19.922483,Tag-B,40604,unknown,-90.0,14.07,,f7e6ef23cda5
2026-04-28T16:41:27.399293,Tag-B,40604,unknown,-89.67,13.67,,f7e6ef23cda5
2026-04-28T16:41:39.899840,Tag-B,40604,unknown,-91.0,15.32,,f7e6ef23cda5
2026-04-28T16:41:44.911702,Tag-B,40604,unknown,-91.5,15.98,,f7e6ef23cda5
2026-04-28T16:41:52.490546,Tag-B,40604,unknown,-90.33,14.47,,f7e6ef23cda5
2026-04-28T16:41:57.517777,Tag-B,40604,unknown,-90.0,14.07,,f7e6ef23cda5
2026-04-28T16:42:02.433977,Tag-B,40604,unknown,-89.33,13.29,,f7e6ef23cda5
2026-04-28T16:42:14.924293,Tag-B,40604,unknown,-91.5,15.98,,f7e6ef23cda5
2026-04-28T16:42:19.535487,Tag-A,60285,unknown,-91.5,15.98,,d6ac03164b2b
2026-04-28T16:42:22.392661,Tag-B,40604,unknown,-91.0,15.32,,f7e6ef23cda5
